sleep_hours,parental_education_level,parental_education_binary,exam_score
6,Bachelor,high,76
7.9,Master,high,100
4.6,High School,low,85
5,Master,high,97
7,High School,low,86
6.8,Master,high,100
8.4,Bachelor,high,88
6.2,High School,low,100
9.1,High School,low,96
8.3,Bachelor,high,62
5.7,Bachelor,high,90
6.2,Master,high,71
8.2,Master,high,100
6.9,Master,high,74
7.6,Master,high,98
9.3,High School,low,100
7.6,Master,high,86
6.2,High School,low,88
6.2,Master,high,83
7.5,Bachelor,high,100
5.5,High School,low,100
7.4,High School,low,83
4.3,Bachelor,high,92
7.4,Bachelor,high,73
9.6,Bachelor,high,100
6.7,Master,high,96
5.3,High School,low,62
5.4,Bachelor,high,69
7.7,Bachelor,high,74
7.2,Master,high,90
7.7,Master,high,70
6.6,Bachelor,high,94
6.8,Bachelor,high,100
8.2,Bachelor,high,97
7.4,Master,high,100
4.7,Master,high,100
6.1,Bachelor,high,100
7.1,Bachelor,high,87
5.2,Master,high,100
7.4,Bachelor,high,92
6.1,Master,high,92
6.1,Master,high,94
8.8,High School,low,100
5.8,High School,low,100
5.2,Master,high,100
5.8,Bachelor,high,71
8.6,High School,low,89
6.3,High School,low,76
6.1,Master,high,78
5.6,Bachelor,high,100
8.8,Master,high,95
9.1,High School,low,93
6.7,Bachelor,high,65
7.8,Master,high,100
7.8,Bachelor,high,100
10,Master,high,100
6.8,Bachelor,high,93
7.5,Bachelor,high,100
5.8,High School,low,95
5.9,High School,low,84
9.1,Master,high,79
9.7,Master,high,95
9.1,High School,low,86
5.8,Master,high,95
9,Bachelor,high,93
8.1,Master,high,100
7.6,Bachelor,high,100
4.8,Master,high,97
8.9,Bachelor,high,76
9.1,Master,high,82
6.5,Master,high,100
7,Master,high,94
8,Bachelor,high,83
4.8,Master,high,96
6.2,Master,high,100
8.5,Master,high,100
6.8,Bachelor,high,99
6.9,Bachelor,high,67
8.2,Master,high,100
7.1,Master,high,60
5.2,Master,high,97
7.4,Bachelor,high,98
5.2,High School,low,92
9.5,Bachelor,high,65
7.3,Bachelor,high,82
7.4,Bachelor,high,99
7.2,High School,low,83
7.4,Bachelor,high,100
4.7,Master,high,100
9.2,High School,low,100
6.3,High School,low,100
7.1,Bachelor,high,77
5.1,Bachelor,high,96
6.4,High School,low,82
9.9,Master,high,56
5.9,Master,high,55
8.7,Bachelor,high,85
8.1,Bachelor,high,88
7.4,Bachelor,high,86
6.8,High School,low,84
5.5,Master,high,86
9.4,Bachelor,high,99
7.5,Master,high,74
6,High School,low,96
4.9,Master,high,74
7.8,Master,high,91
9.1,Bachelor,high,96
8.1,Master,high,100
7,Bachelor,high,100
9,High School,low,94
6.7,Master,high,99
5,Bachelor,high,100
9.4,High School,low,87
4.8,High School,low,68
4.4,High School,low,76
5.2,Master,high,82
7,Master,high,72
7.4,High School,low,99
8.8,Bachelor,high,100
8.4,High School,low,74
4.8,Bachelor,high,100
7.5,Bachelor,high,77
5.6,Master,high,100
8.4,High School,low,91
7.4,High School,low,99
7.7,Master,high,95
6.9,High School,low,94
5.3,Master,high,97
8.6,Master,high,91
4.8,High School,low,90
7.7,Master,high,100
8.6,Bachelor,high,99
5.4,High School,low,97
5.4,Bachelor,high,85
7.1,High School,low,94
7.6,Master,high,87
8.1,High School,low,100
7.8,High School,low,82
7.5,Bachelor,high,96
4.8,High School,low,98
8.5,Master,high,76
9.5,High School,low,100
4.5,High School,low,100
7,Master,high,80
8.7,High School,low,92
7.5,Master,high,100
6.5,High School,low,100
4.7,Bachelor,high,90
10.2,Bachelor,high,93
6.1,Bachelor,high,97
9.1,High School,low,100
7.1,High School,low,79
7.2,Master,high,71
4.1,Bachelor,high,68
4.5,High School,low,91
5.3,Master,high,73
6.4,Bachelor,high,85
6.4,Master,high,94
4.1,Bachelor,high,100
8.5,Master,high,73
5.1,Master,high,90
7.3,High School,low,94
7.5,High School,low,70
7.1,Bachelor,high,84
8,Master,high,68
8,Bachelor,high,83
7.3,Bachelor,high,88
6.8,Master,high,78
9,Bachelor,high,82
7.8,Master,high,94
7.4,Master,high,87
8.6,Bachelor,high,100
6.7,High School,low,99
8.3,Master,high,100
5,High School,low,85
8.5,Master,high,98
8,Bachelor,high,100
6,High School,low,85
7,Master,high,75
4.2,Master,high,94
7.8,High School,low,100
5.8,Master,high,98
4.5,Master,high,100
6.4,Master,high,71
4,High School,low,79
8.3,Bachelor,high,77
6.6,High School,low,97
9,Master,high,100
6.5,Master,high,100
7.5,Bachelor,high,100
5.8,High School,low,97
4.3,Master,high,66
4.1,Master,high,89
5.1,Master,high,75
6.2,Master,high,100
5.3,Master,high,63
5.1,Bachelor,high,90
6.1,Bachelor,high,80
8.4,High School,low,71
6,Master,high,86
8.2,High School,low,84
5.2,Master,high,81
7.3,Master,high,96
9.3,High School,low,72
5.9,High School,low,95
8.1,Bachelor,high,98
5.2,High School,low,65
7.2,Bachelor,high,74
7.6,Master,high,100
9,Master,high,100
5,High School,low,83
5.1,High School,low,100
9,High School,low,100
9,High School,low,90
7.2,High School,low,88
9,High School,low,74
8.7,Master,high,69
7.7,High School,low,86
6.4,Bachelor,high,81
7.7,High School,low,87
7.1,Bachelor,high,65
6.8,Bachelor,high,100
6.2,Bachelor,high,88
8,Master,high,100
6.2,Bachelor,high,56
5.8,Master,high,88
5,Bachelor,high,63
8.4,Bachelor,high,99
6.3,Bachelor,high,93
7.4,Master,high,97
7,Bachelor,high,86
5.7,High School,low,97
5.4,Master,high,77
8.6,Master,high,94
7.1,Master,high,52
8.1,Bachelor,high,100
4.9,High School,low,100
9.3,Master,high,100
6.8,High School,low,92
8.8,High School,low,92
7.8,Master,high,99
6.9,High School,low,100
4.6,Bachelor,high,100
6.7,High School,low,100
6.2,Master,high,99
8.5,Bachelor,high,85
5.7,Bachelor,high,91
5.9,Master,high,82
7.9,Bachelor,high,99
7.3,Bachelor,high,91
7.5,Master,high,97
7.5,Master,high,100
5,High School,low,100
6.8,High School,low,95
5.6,Master,high,74
5.6,Master,high,79
6.5,Master,high,100
7.2,Master,high,87
8.5,Master,high,68
7.4,High School,low,86
8.9,High School,low,71
8.1,High School,low,90
8.5,Bachelor,high,92
4.8,High School,low,98
6.1,High School,low,99
7.6,Bachelor,high,82
6.8,Bachelor,high,88
7.8,Bachelor,high,80
5,Master,high,76
8.4,Bachelor,high,90
6.9,Master,high,96
6.5,High School,low,64
6.4,Master,high,63
8.1,Master,high,85
7,Master,high,89
8.1,High School,low,86
4.6,Master,high,100
7.3,Master,high,89
4.4,Master,high,100
7.1,Bachelor,high,98
9,Bachelor,high,84
6.1,Master,high,100
8.6,Master,high,78
5.3,Master,high,97
6.5,Bachelor,high,100
6.3,Bachelor,high,57
6,High School,low,95
5.4,Master,high,89
6.1,Master,high,68
6.2,High School,low,91
7.6,Bachelor,high,76
5.9,Master,high,86
5.7,Master,high,97
8.2,Bachelor,high,87
7.5,Bachelor,high,96
9.2,Master,high,83
5.7,Master,high,85
5.6,High School,low,90
9.1,Master,high,94
5.3,High School,low,66
9.3,High School,low,100
7.2,Master,high,100
4.6,Bachelor,high,100
7.1,High School,low,93
9.1,Master,high,91
7.1,Master,high,89
4,Master,high,67
7,High School,low,87
7.5,High School,low,100
4,High School,low,65
7.4,Bachelor,high,82
6.9,Bachelor,high,89
7,Master,high,100
7.4,Master,high,99
7.1,Master,high,94
5.9,Bachelor,high,100
7.1,High School,low,85
9,High School,low,100
5.3,High School,low,97
4.9,High School,low,100
6,Master,high,63
6.3,Bachelor,high,95
6,Master,high,99
7.3,Master,high,78
5.6,High School,low,56
7.4,Master,high,75
5.4,High School,low,60
4.3,Bachelor,high,60
6.9,Bachelor,high,100
8,Bachelor,high,100
7.5,Bachelor,high,100
7.6,High School,low,60
8.6,High School,low,100
8.2,Bachelor,high,90
6.9,Bachelor,high,95
9.3,Bachelor,high,99
5.7,High School,low,96
8.4,High School,low,84
7.4,Master,high,100
7.8,Master,high,79
10.3,Bachelor,high,61
7.6,Master,high,72
4,Bachelor,high,100
4.6,Bachelor,high,100
7.1,Master,high,94
8.1,Bachelor,high,91
9,High School,low,97
9.2,Bachelor,high,97
9.7,High School,low,97
6.5,Master,high,97
7.9,Master,high,85
5.4,Bachelor,high,69
5.2,Master,high,73
6.9,Bachelor,high,87
7.3,High School,low,97
6.5,Master,high,94
5.5,Bachelor,high,69
4,High School,low,84
8.7,Master,high,98
5.2,High School,low,100
8.2,High School,low,100
6.6,Master,high,100
8.5,Master,high,97
7.1,Master,high,61
6.5,Bachelor,high,100
6.7,Bachelor,high,70
6.6,Bachelor,high,98
4,High School,low,94
6.6,Bachelor,high,98
7,Master,high,89
6.9,Master,high,74
6.1,High School,low,76
7.9,Bachelor,high,100
7.6,Bachelor,high,97
7.5,Bachelor,high,89
8.4,Bachelor,high,72
7.2,Master,high,100
6.9,Bachelor,high,100
6.3,Master,high,73
6.2,Master,high,100
6.9,Master,high,100
8.6,Bachelor,high,97
8,Master,high,78
5.6,High School,low,82
8.3,Bachelor,high,98
8,High School,low,100
7.7,Master,high,98
6.3,High School,low,70
5.3,Bachelor,high,66
7.5,Master,high,100
9.7,Master,high,100
8.1,Master,high,77
6.2,Bachelor,high,90
8.2,Bachelor,high,89
11.1,Bachelor,high,100
5.3,Bachelor,high,100
8.1,Bachelor,high,97
4.5,Bachelor,high,100
5.2,Bachelor,high,66
6.4,Bachelor,high,70
7.6,Master,high,100
4,Bachelor,high,90
6.2,Bachelor,high,89
6.8,Bachelor,high,100
4,Bachelor,high,99
6.3,Bachelor,high,100
5.6,Bachelor,high,61
7,High School,low,100
10.1,Bachelor,high,100
8.7,Bachelor,high,75
7.2,High School,low,91
5.9,Master,high,99
7.5,Bachelor,high,75
7.4,High School,low,65
5.6,High School,low,96
7.7,Master,high,94
8.7,High School,low,88
6,Bachelor,high,100
7.2,High School,low,93
9.7,Bachelor,high,98
6.6,High School,low,97
8,Master,high,100
7.6,Bachelor,high,100
5.4,High School,low,100
6,Master,high,91
5.4,High School,low,100
5.5,Bachelor,high,85
5,High School,low,74
6.3,High School,low,100
9.8,Bachelor,high,95
8.5,High School,low,79
8.9,High School,low,95
4.6,Master,high,93
8.4,High School,low,100
6.8,Bachelor,high,97
8.7,Bachelor,high,81
8.2,Master,high,99
4.3,Bachelor,high,100
6.1,Master,high,100
4,Master,high,94
6.5,Bachelor,high,88
9.2,High School,low,100
6.4,High School,low,100
7.6,Bachelor,high,100
6.3,High School,low,78
8.1,Bachelor,high,87
4.9,Bachelor,high,100
7.3,Bachelor,high,100
7.4,Master,high,75
5.1,Bachelor,high,87
11.2,High School,low,100
8.6,Master,high,100
7.8,Bachelor,high,89
8.6,Bachelor,high,100
10,High School,low,100
6.9,Bachelor,high,85
8.2,Master,high,79
5.9,Master,high,92
6.9,High School,low,100
5.7,High School,low,94
7.7,Master,high,100
6.1,Bachelor,high,67
6,Master,high,81
5.2,Master,high,86
6,High School,low,61
9.3,High School,low,87
7.9,Bachelor,high,98
9,Master,high,100
7.9,Bachelor,high,100
8.5,Bachelor,high,98
9.8,Master,high,77
6.2,Master,high,92
6.9,Bachelor,high,65
8.4,Master,high,76
8.4,Bachelor,high,97
5.7,High School,low,44
4,High School,low,94
8.3,Bachelor,high,75
9.4,Master,high,72
5.5,Master,high,100
4,High School,low,98
4,High School,low,63
5.8,Bachelor,high,99
8.1,Master,high,85
7.4,Master,high,100
10,Master,high,77
5.1,High School,low,100
5.1,Master,high,90
6.9,Master,high,88
7.2,Bachelor,high,94
7.3,High School,low,92
5.1,Bachelor,high,85
5.8,Master,high,100
7.1,Master,high,100
5.6,Bachelor,high,100
9.5,Master,high,99
7.3,Bachelor,high,96
5.4,Master,high,100
7.8,Bachelor,high,98
9.8,Master,high,98
7.1,Master,high,62
10.8,Master,high,100
4,Bachelor,high,88
8.4,High School,low,93
8.5,Bachelor,high,93
7.1,Bachelor,high,87
6.6,Bachelor,high,91
10.1,Master,high,87
7.8,Master,high,75
6.5,High School,low,76
7.3,High School,low,88
5.6,Master,high,97
5.9,High School,low,86
5.3,Master,high,71
7.5,Master,high,66
7,Bachelor,high,88
7.2,High School,low,89
8.3,High School,low,93
8.3,High School,low,94
9.6,High School,low,89
9.9,Bachelor,high,100
10.3,High School,low,89
5.5,Bachelor,high,65
6.3,Bachelor,high,62
9.2,Master,high,100
5.1,Master,high,98
5.8,High School,low,99
7.2,Master,high,78
6.1,Master,high,100
4.3,High School,low,66
6.6,Master,high,71
9.3,High School,low,100
10.3,Bachelor,high,73
7.6,Bachelor,high,88
6.9,Master,high,99
6.4,Master,high,79
7.9,High School,low,80
5.3,High School,low,100
4.8,Master,high,79
4,Master,high,100
7.3,High School,low,71
7.8,Master,high,100
6.6,High School,low,99
4.8,Bachelor,high,96
7.2,Bachelor,high,84
7.8,Bachelor,high,74
7.4,Master,high,80
9.5,High School,low,76
7,Bachelor,high,91
6.2,Master,high,100
4.2,Bachelor,high,94
6.2,High School,low,97
8.2,Master,high,94
5.8,Master,high,85
5.6,High School,low,70
5.5,High School,low,93
5.1,High School,low,100
7.4,High School,low,95
6.8,Bachelor,high,100
9.3,Master,high,98
7.9,Master,high,100
5.8,Bachelor,high,94
7.4,High School,low,83
8.3,High School,low,91
8.1,High School,low,100
5.9,High School,low,100
5.5,Master,high,84
8.5,Master,high,96
10.1,Master,high,100
4.8,Bachelor,high,98
6.7,Master,high,91
5.8,Master,high,97
7.9,Master,high,64
8,Master,high,80
6.5,Master,high,69
9.2,Master,high,100
7.2,Bachelor,high,92
6.8,High School,low,100
4.7,High School,low,94
4.8,Master,high,72
8.1,Bachelor,high,82
5.6,Master,high,100
6.2,High School,low,100
5.6,Bachelor,high,99
5.1,Master,high,80
6.8,Master,high,100
6.9,Bachelor,high,100
8.4,Master,high,96
4,High School,low,91
5.2,High School,low,100
4.8,Master,high,100
10.4,High School,low,86
7.6,High School,low,91
9.2,Master,high,95
8.9,Master,high,92
7.9,High School,low,95
7.9,Master,high,95
5.1,Master,high,97
5.8,Bachelor,high,99
6.4,Bachelor,high,83
5.5,Master,high,100
6.3,Bachelor,high,98
8.4,Master,high,100
5.5,High School,low,73
6.6,Bachelor,high,92
6.5,Master,high,81
8.7,High School,low,92
6.6,High School,low,100
6.2,Master,high,100
4.3,High School,low,76
7.7,Bachelor,high,100
7.6,Bachelor,high,64
8.7,Master,high,100
6.9,High School,low,97
8.1,Master,high,95
5.2,High School,low,90
7.8,High School,low,67
9.8,High School,low,100
8.5,High School,low,70
8.4,High School,low,92
8.5,Master,high,99
6,High School,low,96
8.4,Bachelor,high,63
6.5,Master,high,100
9.4,Master,high,76
9.3,Master,high,100
4,Bachelor,high,85
8.2,High School,low,74
6.9,Bachelor,high,100
7.2,Master,high,65
8.6,Master,high,65
7.7,Bachelor,high,100
9,High School,low,100
6.7,Master,high,69
5.7,Bachelor,high,88
5.5,High School,low,74
9.3,Master,high,67
5.8,Bachelor,high,100
6.8,High School,low,90
7.4,Bachelor,high,83
9.8,Master,high,80
9.1,High School,low,100
5.9,Master,high,100
8.3,Master,high,100
7.4,High School,low,100
7.4,Master,high,100
8,Master,high,95
7.3,Master,high,62
6.5,High School,low,89
9.8,Bachelor,high,81
8.7,High School,low,74
4.9,Master,high,98
6.1,Bachelor,high,81
7.5,High School,low,100
8.8,High School,low,100
4.2,Bachelor,high,100
9.9,High School,low,100
6.9,High School,low,79
7.8,Master,high,100
7.5,High School,low,90
7.3,Master,high,78
10.4,Bachelor,high,70
9.6,Bachelor,high,76
6.1,Master,high,86
7.2,Bachelor,high,89
4.7,Bachelor,high,90
7.3,Bachelor,high,100
8,High School,low,82
4.7,High School,low,80
8.2,Bachelor,high,62
6.4,High School,low,90
7.4,Bachelor,high,76
4.4,High School,low,85
6.6,High School,low,92
9.3,Bachelor,high,86
4,Master,high,95
4.9,High School,low,100
7,Bachelor,high,73
8.8,Master,high,83
6.9,High School,low,70
5.9,High School,low,100
7.2,High School,low,100
6.9,High School,low,72
7.9,Bachelor,high,82
5.9,High School,low,100
8,Bachelor,high,81
5.4,Bachelor,high,77
7.6,Master,high,65
6.9,Bachelor,high,97
6.3,Bachelor,high,72
5.9,Bachelor,high,99
9.5,Bachelor,high,100
8.8,Master,high,100
7,High School,low,59
4,Bachelor,high,94
7.5,Bachelor,high,70
7.7,Bachelor,high,82
9.5,High School,low,95
5.9,Master,high,71
8.3,Bachelor,high,72
6.4,Master,high,98
9.7,Master,high,59
5.4,Master,high,89
7.3,Bachelor,high,100
6.9,High School,low,95
7.8,High School,low,88
6.7,Bachelor,high,100
7.2,Bachelor,high,100
9.4,Bachelor,high,65
6.1,Bachelor,high,95
5.9,Bachelor,high,100
5.6,Bachelor,high,100
4.2,Bachelor,high,87
6.1,Bachelor,high,93
7.9,High School,low,100
6,Bachelor,high,79
8.1,Master,high,100
7.4,Master,high,100
6.2,Master,high,100
5.5,Bachelor,high,96
5.9,Master,high,100
6,Master,high,68
5.6,High School,low,100
7.6,High School,low,73
5.8,Master,high,97
7.1,Bachelor,high,83
6.5,Master,high,100
7.7,Bachelor,high,100
8,Master,high,93
10.4,Bachelor,high,99
7.8,Bachelor,high,89
9.9,Bachelor,high,56
4.7,Master,high,81
6.7,High School,low,100
6.5,Bachelor,high,99
7.1,High School,low,72
5.7,Bachelor,high,93
7.3,Bachelor,high,92
5.5,High School,low,72
6.1,Master,high,72
5,Bachelor,high,97
7.2,Master,high,97
6.6,Bachelor,high,100
5.8,High School,low,79
9.2,Master,high,97
7.1,High School,low,94
7.4,High School,low,86
7.5,Master,high,100
8.4,Bachelor,high,100
8.7,Bachelor,high,93
7,High School,low,91
6.5,High School,low,98
9.4,Master,high,100
7.5,Bachelor,high,99
6.2,Bachelor,high,71
5.9,Master,high,79
8,Master,high,94
5.3,High School,low,100
5.6,High School,low,100
6.7,High School,low,100
6.6,High School,low,73
6.5,Bachelor,high,100
8.5,High School,low,91
7.3,Bachelor,high,72
9.8,High School,low,96
5.9,Bachelor,high,95
7.4,Bachelor,high,88
7.1,Bachelor,high,64
8.8,Master,high,94
8.5,Bachelor,high,77
7.5,Master,high,97
8.4,High School,low,100
6.7,Master,high,75
7,High School,low,74
7,High School,low,95
5.4,High School,low,100
7.8,Bachelor,high,100
8.4,High School,low,83
7.1,High School,low,93
6,High School,low,83
5.9,High School,low,97
6.3,Master,high,96
8.2,Bachelor,high,98
7.2,High School,low,84
7.7,Bachelor,high,91
7,High School,low,100
5.6,Master,high,65
7.9,Bachelor,high,80
7.8,Master,high,90
7.4,High School,low,96
6.6,Bachelor,high,93
6.4,High School,low,86
4,Master,high,93
9.1,High School,low,82
6,High School,low,85
6.9,Master,high,100
6,High School,low,77
7.2,Master,high,72
8.6,High School,low,96
5.3,Master,high,94
4.5,Master,high,100
8.3,Bachelor,high,89
9.6,Master,high,81
7.1,High School,low,96
7.6,High School,low,79
5.8,High School,low,98
7.7,Master,high,95
7.7,High School,low,94
6.9,Master,high,65
6.6,High School,low,92
7.2,Master,high,85
5.2,Master,high,83
5.5,High School,low,94
5.9,High School,low,92
8.1,Master,high,94
9.2,High School,low,97
5.8,High School,low,95
8,Master,high,83
9.1,Master,high,100
4.3,Bachelor,high,100
8.4,Master,high,100
7.9,Master,high,96
4.9,Bachelor,high,87
6.6,Bachelor,high,81
8.7,Bachelor,high,100
8.4,Bachelor,high,98
8.6,Master,high,90
6.5,High School,low,75
4.4,Master,high,96
5.2,Bachelor,high,100
7.4,Master,high,90
7.2,Master,high,100
8.2,High School,low,98
8.4,High School,low,100
6.7,Bachelor,high,90
10.7,High School,low,92
5.5,Master,high,93
6.7,Master,high,67
5.9,Bachelor,high,73
4.6,Bachelor,high,100
5.2,Master,high,56
6.8,High School,low,100
6.5,Master,high,100
6,Bachelor,high,98
7.9,High School,low,78
6,Master,high,90
5.6,Master,high,62
9.4,High School,low,93
7.2,Master,high,100
4.4,Bachelor,high,91
7.7,High School,low,58
7.6,Master,high,87
6.3,High School,low,100
6.6,Bachelor,high,73
7.8,High School,low,100
5.8,Bachelor,high,96
5.7,Master,high,60
6.8,Master,high,82
6.5,Master,high,97
7.7,High School,low,74
9,High School,low,100
6.8,Master,high,100
5.1,High School,low,100
4,High School,low,82
4,Master,high,100
6.6,High School,low,81
9.2,Bachelor,high,89
7.5,Master,high,94
8.3,Bachelor,high,86
5.7,High School,low,100
7.4,Bachelor,high,87
7.8,High School,low,100
7.5,Master,high,92
9,Master,high,92
10.1,Master,high,76
9.1,Master,high,74
7.9,Master,high,97
5.2,High School,low,60
6.7,Master,high,100
6.4,Master,high,94
4.3,High School,low,100
7.8,Master,high,91
8.9,Bachelor,high,74
6.3,Bachelor,high,85
5.1,High School,low,63
5.9,Bachelor,high,64
5.4,Bachelor,high,100
4,Bachelor,high,77
6.5,Master,high,94
6.5,High School,low,84
6.2,Master,high,73
7.6,Bachelor,high,100
4.8,Master,high,95
7.6,High School,low,96
4.6,Bachelor,high,100
5.3,High School,low,88
8.7,Master,high,96
4,Bachelor,high,70
6.6,Bachelor,high,97
5.8,Bachelor,high,100
7.3,Master,high,100
7.5,Master,high,100
7.9,High School,low,98
6,Master,high,93
8.7,High School,low,100
6.5,Bachelor,high,95
6.4,High School,low,81
7.5,Bachelor,high,86
5.6,Master,high,92
5.7,Bachelor,high,96
4.4,Bachelor,high,74
5.8,Bachelor,high,100
5.2,High School,low,69
5.2,High School,low,82
8.3,Master,high,91
6.2,Master,high,100
8.4,High School,low,78
9.4,High School,low,73
7,Bachelor,high,86
5,Bachelor,high,100
8.2,High School,low,96
6.8,Bachelor,high,95
4.4,High School,low,88
5.8,Bachelor,high,100
8.2,Bachelor,high,100
5.4,High School,low,100
6,High School,low,95
5.2,High School,low,67
9.7,Master,high,76
8.1,Master,high,96
6.5,Master,high,83
6,Bachelor,high,82
8.7,Master,high,90
6.4,High School,low,83
9.2,Bachelor,high,100
8.2,Bachelor,high,57
8.5,Bachelor,high,94
8.5,Master,high,100
7.6,Master,high,81
7,High School,low,100
8.8,High School,low,86
7.4,High School,low,72
6.3,Bachelor,high,100
7.9,Bachelor,high,85
7.6,Master,high,100
6,High School,low,100
7.6,Bachelor,high,75
7.6,Master,high,100
5.7,Master,high,86
6,High School,low,61
8.3,Bachelor,high,96
8.2,High School,low,100
7.6,High School,low,95
7.2,Master,high,100
5.6,Master,high,99
6.3,Bachelor,high,69
8,Master,high,62
5.4,Master,high,100
6.3,Bachelor,high,94
8.9,Bachelor,high,85
6.7,Bachelor,high,85
6.2,Bachelor,high,98
7.9,Bachelor,high,100
7.8,Master,high,82
4,Master,high,97
8.9,Bachelor,high,100
4,Bachelor,high,66
4.1,Bachelor,high,100
8.1,Bachelor,high,95
6.7,High School,low,92
7.2,Master,high,88
8.2,Bachelor,high,100
5.7,Bachelor,high,82
8.6,Bachelor,high,89
5.9,High School,low,69
6.6,Master,high,100
9,Master,high,89
6.4,High School,low,100
7.4,Bachelor,high,59
6.5,High School,low,89
6.6,Master,high,85
6.9,High School,low,87
8,High School,low,100
5.2,Master,high,100
9.4,High School,low,75
4.3,Bachelor,high,75
9.6,Master,high,97
7.6,High School,low,100
5.8,Master,high,100
7.9,Master,high,86
7.4,Master,high,100
7.6,Bachelor,high,83
6.3,Master,high,88
6.7,High School,low,100
6.7,High School,low,83
4,Bachelor,high,66
4.6,Master,high,94
5.6,Bachelor,high,97
6.9,Master,high,98
6.3,Master,high,100
6.3,High School,low,97
7.2,High School,low,93
5.3,Master,high,79
8.3,High School,low,70
7.4,High School,low,76
6.9,Master,high,99
8.5,Bachelor,high,100
6.2,Master,high,87
9.6,High School,low,100
6.6,Bachelor,high,100
9.2,Master,high,94
4.4,High School,low,58
7.9,Master,high,83
6.4,High School,low,100
6,High School,low,100
8.5,Bachelor,high,95
8.3,Master,high,93
7.5,High School,low,100
7.1,High School,low,100
7.6,High School,low,88
7.6,High School,low,81
6.5,Master,high,90
4,Bachelor,high,48
5.5,High School,low,97
5.3,High School,low,100
5.6,Bachelor,high,79
8,Bachelor,high,100
6.6,High School,low,54
4.4,Master,high,100
7.6,Master,high,95
6.9,High School,low,63
5.1,High School,low,95
6.3,Bachelor,high,76
7.9,Master,high,93
6.9,High School,low,91
6.9,Bachelor,high,99
6.6,Bachelor,high,100
8.3,Bachelor,high,99
7.7,High School,low,88
9.4,High School,low,100
8.8,Master,high,100
5.1,Master,high,100
7.5,High School,low,75
9.8,Master,high,94
7.3,Master,high,83
8,Master,high,95
6,High School,low,100
5.5,Master,high,90
6.9,High School,low,66
7.1,Master,high,100
7.7,Bachelor,high,100
8.5,Master,high,96
8,Bachelor,high,87
6.9,Bachelor,high,65
7.1,High School,low,68
6.8,Bachelor,high,77
6.4,Bachelor,high,93
6.6,Bachelor,high,98
5.7,High School,low,97
7.3,Bachelor,high,100
8.3,Bachelor,high,98
5.4,Master,high,100
7,High School,low,91
7.2,High School,low,86
8.1,Bachelor,high,100
7.1,High School,low,62
6,Bachelor,high,100
5.5,Bachelor,high,78
8.3,High School,low,97
5,Bachelor,high,92
4.1,High School,low,98
7.6,High School,low,77
6.9,High School,low,74
8.1,Master,high,79
6.4,Master,high,83
4,High School,low,74
7.2,Bachelor,high,81
8.3,High School,low,100
5.1,Bachelor,high,92
9.8,High School,low,82
7.8,Bachelor,high,100
7.6,Bachelor,high,93
6,Master,high,99
5.7,Master,high,99
8,High School,low,98
8.5,Master,high,94
8.4,High School,low,76
7.4,Bachelor,high,91
8.6,High School,low,77
7.5,Bachelor,high,96
8.6,Bachelor,high,95
8.9,Bachelor,high,80
5.8,Bachelor,high,78
5.5,High School,low,80
6.4,High School,low,100
5.6,Master,high,75
5.6,Bachelor,high,98
7,High School,low,98
6.5,High School,low,65
5.7,Master,high,97
7.1,Bachelor,high,93
8.7,Master,high,100
6,High School,low,77
11,Bachelor,high,99
7.5,Bachelor,high,69
6.4,High School,low,100
6,Bachelor,high,100
6.8,High School,low,94
5.8,Bachelor,high,86
8.2,High School,low,77
7.4,Master,high,100
8.9,Master,high,97
4.5,High School,low,95
5.1,Bachelor,high,85
7.3,High School,low,74
7.8,Master,high,71
8.5,Master,high,94
7.9,Bachelor,high,95
7,Master,high,78
8,High School,low,98
6.9,High School,low,100
8.8,High School,low,100
6.7,Master,high,93
7.9,Master,high,100
7.5,Bachelor,high,92
5.3,High School,low,80
7.4,Master,high,93
9.7,Bachelor,high,97
9.1,Master,high,100
8.8,High School,low,95
7.6,Master,high,87
6.4,Bachelor,high,100
4.9,Master,high,76
5.3,Bachelor,high,80
5.7,High School,low,92
6.6,Master,high,90
7,High School,low,91
7.8,Master,high,68
7.2,Master,high,100
11,High School,low,100
5.4,Master,high,98
7.7,Bachelor,high,75
9.4,Master,high,83
7,Master,high,77
7.7,Bachelor,high,86
7.9,Bachelor,high,97
8.5,Master,high,81
7,Bachelor,high,64
6.9,High School,low,63
6.9,Bachelor,high,100
7.2,High School,low,100
7.3,Master,high,97
5.7,Master,high,100
7.5,Master,high,100
7,Master,high,95
4,High School,low,85
7.1,High School,low,68
8.3,Bachelor,high,84
6.1,Master,high,80
5.7,High School,low,100
6.3,Bachelor,high,98
8,High School,low,100
8.8,Bachelor,high,98
6.2,Bachelor,high,97
6.3,Bachelor,high,100
9.3,High School,low,97
7.1,Bachelor,high,100
7,Bachelor,high,88
7.8,High School,low,77
6.3,Bachelor,high,100
5.3,Master,high,96
5.6,Master,high,84
4,High School,low,100
6.6,Master,high,84
8.4,Master,high,100
6.3,Master,high,72
8.8,Bachelor,high,89
6.3,High School,low,71
6.5,Master,high,94
6.9,Master,high,98
5.6,High School,low,100
7,Bachelor,high,100
5.9,High School,low,90
8.4,Bachelor,high,100
7.9,High School,low,91
8.7,Master,high,89
7.9,Master,high,72
6.7,Bachelor,high,64
8.5,Master,high,89
5.5,High School,low,87
